序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","苯<br />BENZENE<br />(ppb)","甲苯<br />TOLUENE<br />(ppb)","乙苯<br />ETHYLBENZENE<br />(ppb)","間、對二甲苯<br />M_P_XYLENES<br />(ppb)","鄰二甲苯<br />O_XYLENE<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨強度<br />RAIN_INT<br />(㎜)","降雨量<br />RAINFALL<br />(mm)","酸雨<br />PH_RAIN<br />(pH)","相對濕度<br />RH<br />(percent)","導電度<br />RAIN_COND<br />(μmho/cm)","紫外線指數<br />UVB<br />(UVI)","小時風向值<br />WD_HR<br />(degrees)"
8080,屏東縣,2018/03,屏東,2.9,0.45,-,41.0,58,32,16.21,1.33,14.87,-,2.194,0.125,2.07,-,-,-,-,-,1.83,1.46,23.65,-,-,-,-,65.52,-,-,-
8081,屏東縣,2018/03,恆春,1.8,0.15,413.0,43.6,34,11,2.42,0.65,1.74,-,-,-,-,-,-,-,-,-,5.54,5.27,22.91,-,2.17,-,4.95,75.64,33.44,-,-
8082,屏東縣,2018/02,屏東,2.3,0.52,-,27.8,66,35,18.31,1.8,16.5,-,2.189,0.139,2.05,-,-,-,-,-,1.66,1.33,19.92,-,-,-,-,71.78,-,-,-
8083,屏東縣,2018/02,恆春,1.4,0.2,414.35,45.6,29,10,2.46,0.7,1.75,-,-,-,-,-,-,-,-,-,7.82,7.59,20.3,-,4.95,-,5.02,77.76,43.55,-,-
8084,屏東縣,2018/02,潮州,2.0,0.43,-,27.8,74,34,14.69,1.89,12.8,-,-,-,-,-,-,-,-,-,1.55,1.96,20.21,-,-,-,-,72.36,-,-,-
8085,屏東縣,2018/01,恆春,1.6,0.18,418.42,43.4,24,9,2.64,0.54,2.06,-,-,-,-,-,-,-,-,-,8.8,8.55,20.37,-,1.63,-,5.05,78.55,20.6,-,-
8086,屏東縣,2018/01,屏東,2.8,0.55,-,26.6,69,37,21.44,2.29,19.14,-,2.192,0.167,2.03,-,-,-,-,-,1.53,1.21,20.35,-,-,-,-,73.35,-,-,-
8087,屏東縣,2018/01,潮州,2.8,0.45,-,30.5,83,41,16.79,2.23,14.55,-,-,-,-,-,-,-,-,-,1.42,1.12,20.84,-,-,-,-,81.63,-,-,-
8088,屏東縣,2017/12,恆春,1.8,0.18,414.55,46.0,29,14,3.01,0.58,2.4,-,-,-,-,-,-,-,-,-,8.86,8.54,21.32,-,1.17,-,4.7,75.37,23.23,-,-
8089,屏東縣,2017/12,屏東,2.8,0.5,-,28.5,75,38,18.45,1.36,17.07,-,2.135,0.138,2.0,-,-,-,-,-,1.57,1.26,21.11,-,-,-,-,71.39,-,-,-
8090,屏東縣,2017/12,潮州,2.7,0.44,-,30.8,89,39,17.32,1.75,15.56,-,-,-,-,-,-,-,-,-,1.38,1.08,21.5,-,-,-,-,80.64,-,-,-
8091,屏東縣,2017/11,恆春,1.9,0.12,409.97,39.4,25,11,2.96,0.63,2.3,-,-,-,-,-,-,-,-,-,7.66,7.32,25.1,-,1.25,-,4.98,80.88,19.45,-,-
8092,屏東縣,2017/11,潮州,2.8,0.4,-,36.4,90,40,14.82,1.74,13.07,-,-,-,-,-,-,-,-,-,1.33,1.06,25.58,-,-,-,-,83.66,-,-,-
8093,屏東縣,2017/11,屏東,3.1,0.53,-,32.2,80,39,18.55,1.41,17.13,-,2.203,0.162,2.04,-,-,-,-,-,1.48,1.18,25.42,-,-,-,-,75.11,-,-,-
8094,屏東縣,2017/10,屏東,3.2,0.44,-,39.7,61,26,13.49,1.05,12.43,-,2.125,0.123,2.0,-,-,-,-,-,1.59,1.26,27.85,-,-,-,-,73.42,-,-,-
8095,屏東縣,2017/10,恆春,1.6,0.11,403.37,37.7,35,12,2.98,0.68,2.27,-,-,-,-,-,-,-,-,-,6.97,6.67,26.71,-,3.68,-,4.5,80.38,36.2,-,-
8096,屏東縣,2017/10,潮州,3.0,0.31,-,39.2,64,25,9.66,1.04,8.6,-,-,-,-,-,-,-,-,-,1.47,1.18,27.7,-,-,-,-,80.9,-,-,-
8097,屏東縣,2017/09,恆春,1.8,0.09,403.13,29.0,27,8,3.03,0.65,2.35,-,-,-,-,-,-,-,-,-,4.16,3.9,28.43,-,4.33,-,4.54,84.87,15.45,-,-
8098,屏東縣,2017/09,潮州,2.5,0.22,-,32.2,48,21,6.92,1.09,5.82,-,-,-,-,-,-,-,-,-,1.69,1.39,29.44,-,-,-,-,81.84,-,-,-
8099,屏東縣,2017/09,屏東,3.4,0.36,-,32.5,42,20,11.59,1.21,10.37,-,2.037,0.101,1.94,-,-,-,-,-,1.82,1.46,30.33,-,-,-,-,71.49,-,-,-
8100,屏東縣,2017/08,恆春,1.9,0.06,401.62,21.6,26,7,3.32,1.09,2.22,-,-,-,-,-,-,-,-,-,3.81,3.59,28.99,-,3.14,-,4.66,87.87,14.28,-,-
8101,屏東縣,2017/08,潮州,2.4,0.2,-,23.2,40,15,6.82,1.27,5.55,-,-,-,-,-,-,-,-,-,1.73,1.44,29.26,-,-,-,-,81.83,-,-,-
8102,屏東縣,2017/08,屏東,2.6,0.34,-,22.9,32,15,11.28,1.47,9.8,-,2.015,0.101,1.91,-,-,-,-,-,1.73,1.25,29.58,-,-,-,-,72.01,-,-,-
8103,屏東縣,2017/07,恆春,1.3,0.05,404.27,17.7,18,8,2.55,1.19,1.36,-,-,-,-,-,-,-,-,-,3.91,3.62,28.79,-,4.36,-,4.86,88.42,21.37,-,-
8104,屏東縣,2017/07,潮州,2.1,0.16,-,25.2,35,14,7.57,1.78,5.8,-,-,-,-,-,-,-,-,-,1.92,1.51,29.32,-,-,-,-,76.54,-,-,-
8105,屏東縣,2017/07,屏東,2.4,0.28,-,27.5,34,13,11.07,2.21,8.87,-,1.962,0.082,1.88,-,-,-,-,-,1.89,1.25,29.65,-,-,-,-,70.37,-,-,-
8106,屏東縣,2017/06,恆春,1.8,0.05,402.14,21.5,22,9,2.97,1.72,1.24,-,-,-,-,-,-,-,-,-,3.94,3.76,29.23,-,2.09,-,5.01,87.78,7.36,-,-
8107,屏東縣,2017/06,潮州,1.9,0.14,-,17.9,31,10,6.67,1.51,5.15,-,-,-,-,-,-,-,-,-,2.04,1.69,28.93,-,-,-,-,79.4,-,-,-
8108,屏東縣,2017/06,屏東,2.1,0.28,-,18.0,26,8,11.04,2.29,8.75,-,1.929,0.086,1.84,-,-,-,-,-,1.92,1.43,29.42,-,-,-,-,71.7,-,-,-
8109,屏東縣,2017/05,屏東,3.1,0.38,-,35.7,42,21,13.55,1.66,11.89,-,2.033,0.103,1.93,-,-,-,-,-,1.72,1.3,28.34,-,-,-,-,69.22,-,-,-
8110,屏東縣,2017/05,潮州,2.7,0.26,-,35.4,51,21,9.07,1.39,7.68,-,-,-,-,-,-,-,-,-,1.78,1.51,27.8,-,-,-,-,77.3,-,-,-
8111,屏東縣,2017/05,恆春,1.5,0.1,410.48,39.0,23,6,2.64,1.45,1.18,-,-,-,-,-,-,-,-,-,5.43,5.04,27.0,-,2.71,-,4.89,84.56,5.53,-,-
8112,屏東縣,2017/04,恆春,1.3,0.15,410.61,47.1,29,9,3.01,1.27,1.73,-,-,-,-,-,-,-,-,-,5.49,5.21,24.56,-,2.19,-,4.44,81.04,12.19,-,-
8113,屏東縣,2017/04,屏東,3.0,0.42,-,35.9,48,25,15.83,1.9,13.93,-,2.072,0.116,1.96,-,-,-,-,-,1.72,1.25,25.51,-,-,-,-,67.99,-,-,-
8114,屏東縣,2017/04,潮州,2.7,0.31,-,37.1,58,24,11.71,1.54,10.16,-,-,-,-,-,-,-,-,-,1.82,1.52,25.04,-,-,-,-,76.02,-,-,-
8115,屏東縣,2017/03,屏東,3.5,0.52,-,38.2,71,40,18.16,1.83,16.33,-,2.183,0.142,2.04,-,-,-,-,-,1.69,1.19,23.26,-,-,-,-,67.34,-,-,-
8116,屏東縣,2017/03,恆春,1.6,0.2,416.91,54.3,31,14,2.83,1.15,1.68,-,-,-,-,-,-,-,-,-,6.25,5.83,22.51,-,0.7,-,5.32,80.04,45.67,-,-
8117,屏東縣,2017/03,潮州,3.1,0.42,-,41.3,80,34,15.06,2.75,12.31,-,-,-,-,-,-,-,-,-,1.77,1.42,22.93,-,-,-,-,75.49,-,-,-
8118,屏東縣,2017/02,潮州,3.3,0.47,-,37.3,91,42,18.0,1.69,16.31,-,-,-,-,-,-,-,-,-,1.61,1.29,20.6,-,-,-,-,74.76,-,-,-
8119,屏東縣,2017/02,恆春,1.9,0.19,409.64,48.3,28,12,2.72,1.47,1.24,-,-,-,-,-,-,-,-,-,7.7,7.29,20.71,-,1.02,-,5.06,78.29,76.53,-,-
8120,屏東縣,2017/02,屏東,3.0,0.53,-,32.5,75,41,19.82,2.14,17.68,-,2.191,0.148,2.04,-,-,-,-,-,1.54,1.06,20.89,-,-,-,-,65.86,-,-,-
8121,屏東縣,2017/01,恆春,1.3,0.16,416.97,46.0,24,10,2.57,1.21,1.36,-,-,-,-,-,-,-,-,-,7.44,7.17,21.78,-,0.69,-,6.03,79.11,121.99,-,-
8122,屏東縣,2017/01,潮州,3.7,0.5,-,37.6,95,44,18.79,2.04,16.76,-,-,-,-,-,-,-,-,-,1.43,1.11,21.02,-,-,-,-,77.54,-,-,-
8123,屏東縣,2017/01,屏東,3.4,0.56,-,32.8,80,46,21.72,2.33,19.39,-,2.208,0.162,2.05,-,-,-,-,-,1.39,0.93,21.48,-,-,-,-,68.99,-,-,-
8124,屏東縣,2016/12,潮州,3.5,0.5,-,35.9,89,48,18.57,2.52,16.05,-,-,-,-,-,-,-,-,-,1.33,1.04,22.1,-,-,-,-,78.56,-,-,-
8125,屏東縣,2016/12,恆春,1.3,0.16,401.97,45.0,26,8,3.23,1.29,1.94,-,-,-,-,-,-,-,-,-,8.74,8.49,22.8,-,0.0,-,0.0,78.14,0.0,-,-
8126,屏東縣,2016/12,屏東,3.3,0.58,-,30.9,78,42,22.83,2.57,20.26,-,2.255,0.184,2.07,-,-,-,-,-,1.37,0.91,22.53,-,-,-,-,70.95,-,-,-
8127,屏東縣,2016/11,潮州,3.3,0.39,-,39.5,74,41,13.85,1.79,12.06,-,-,-,-,-,-,-,-,-,1.42,1.12,24.74,-,-,-,-,79.08,-,-,-
8128,屏東縣,2016/11,恆春,1.1,0.12,404.63,44.4,30,5,5.32,2.56,2.76,-,-,-,-,-,-,-,-,-,6.79,6.58,24.68,-,1.1,-,5.25,81.71,12.02,-,-
8129,屏東縣,2016/11,屏東,3.0,0.51,-,35.7,70,39,18.82,1.95,16.87,-,2.218,0.159,2.06,-,-,-,-,-,1.43,0.94,25.44,-,-,-,-,71.21,-,-,-
8130,屏東縣,2016/10,潮州,3.0,0.28,-,35.4,57,29,13.5,3.91,9.59,-,-,-,-,-,-,-,-,-,1.69,1.41,27.45,-,-,-,-,81.51,-,-,-
8131,屏東縣,2016/10,屏東,2.9,0.46,-,32.3,52,30,14.3,2.04,12.25,-,2.135,0.138,2.0,-,-,-,-,-,1.48,1.1,28.15,-,-,-,-,74.66,-,-,-
8132,屏東縣,2016/10,恆春,0.9,0.07,394.48,29.6,25,4,3.73,1.64,2.08,-,-,-,-,-,-,-,-,-,4.53,3.85,27.15,-,3.09,-,5.29,87.44,10.98,-,-
8133,屏東縣,2016/09,屏東,2.4,0.4,-,32.9,34,19,11.88,1.9,9.97,-,2.034,0.106,1.93,-,-,-,-,-,1.99,1.46,30.27,-,-,-,-,77.54,-,-,-
8134,屏東縣,2016/09,恆春,1.3,0.09,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.56,27.33,-,2.69,-,5.33,87.48,14.78,-,-
8135,屏東縣,2016/09,潮州,2.2,0.23,-,36.7,43,20,11.74,4.31,7.42,-,-,-,-,-,-,-,-,-,1.7,1.41,27.4,-,-,-,-,82.84,-,-,-
8136,屏東縣,2016/08,屏東,2.4,0.38,-,31.0,32,18,11.77,1.84,9.93,-,2.033,0.115,1.92,-,-,-,-,-,1.77,1.29,28.91,-,-,-,-,75.58,-,-,-
8137,屏東縣,2016/08,潮州,2.1,0.19,-,31.9,42,16,8.64,2.72,5.92,-,-,-,-,-,-,-,-,-,1.69,1.37,28.03,-,-,-,-,81.41,-,-,-
8138,屏東縣,2016/08,恆春,1.3,0.09,400.32,35.4,28,6,3.39,1.29,2.09,-,-,-,-,-,-,-,-,-,3.64,3.32,27.95,-,4.48,-,5.13,86.84,16.26,-,-
8139,屏東縣,2016/07,屏東,2.2,0.31,-,22.8,31,15,10.08,1.94,8.14,-,1.949,0.09,1.86,-,-,-,-,-,2.09,1.52,29.78,-,-,-,-,71.78,-,-,-
8140,屏東縣,2016/07,潮州,2.3,0.16,-,25.7,40,15,5.69,1.17,4.5,-,-,-,-,-,-,-,-,-,1.86,1.53,28.87,-,-,-,-,77.58,-,-,-
8141,屏東縣,2016/07,恆春,1.3,0.05,400.34,24.3,24,3,3.52,1.88,1.63,-,-,-,-,-,-,-,-,-,4.38,4.1,28.87,-,2.17,-,5.2,85.6,18.31,-,-
8142,屏東縣,2016/06,恆春,1.0,0.05,397.57,21.1,21,2,3.96,1.91,2.05,-,-,-,-,-,-,-,-,-,3.71,3.43,28.67,-,2.82,-,5.44,86.42,8.97,-,-
8143,屏東縣,2016/06,潮州,1.8,0.15,-,18.8,33,10,5.92,1.93,4.0,-,-,-,-,-,-,-,-,-,1.86,1.54,29.05,-,-,-,-,75.67,-,-,-
8144,屏東縣,2016/06,屏東,2.1,0.31,-,18.5,30,13,10.86,2.43,8.43,-,1.95,0.101,1.85,-,-,-,-,-,2.04,1.49,29.85,-,-,-,-,71.14,-,-,-
8145,屏東縣,2016/05,潮州,2.2,0.24,-,28.4,37,19,6.71,1.18,5.52,-,-,-,-,-,-,-,-,-,1.73,1.47,28.14,-,-,-,-,74.17,-,-,-
8146,屏東縣,2016/05,恆春,1.0,0.1,404.72,33.4,23,4,4.5,2.36,2.15,-,-,-,-,-,-,-,-,-,4.39,4.16,27.77,-,2.0,-,5.34,82.86,11.73,-,-
8147,屏東縣,2016/05,屏東,2.7,0.37,-,28.0,40,21,12.72,1.91,10.81,-,2.053,0.111,1.94,-,-,-,-,-,1.85,1.37,29.17,-,-,-,-,68.65,-,-,-
8148,屏東縣,2016/04,潮州,2.6,0.3,-,30.4,43,25,8.73,1.04,7.66,-,-,-,-,-,-,-,-,-,1.75,1.46,26.5,-,-,-,-,73.6,-,-,-
8149,屏東縣,2016/04,恆春,1.4,0.18,407.22,39.1,29,11,4.57,1.94,2.63,-,-,-,-,-,-,-,-,-,4.29,4.0,26.15,-,2.48,-,4.54,81.74,30.4,-,-
8150,屏東縣,2016/04,屏東,3.1,0.46,-,29.0,48,26,15.61,2.09,13.52,-,2.14,0.135,2.0,-,-,-,-,-,1.77,1.32,27.28,-,-,-,-,69.33,-,-,-
8151,屏東縣,2016/03,潮州,2.7,0.44,-,33.6,65,39,14.82,2.02,12.8,-,-,-,-,-,-,-,-,-,1.55,1.2,21.03,-,-,57.8,-,78.39,-,-,-
8152,屏東縣,2016/03,屏東,2.7,0.57,-,28.8,65,37,20.36,2.72,17.65,-,2.26,0.17,2.08,-,-,-,-,-,1.52,1.02,21.59,-,-,71.4,-,72.13,-,5.6,-
8153,屏東縣,2016/03,恆春,1.1,0.19,409.39,49.6,30,10,4.27,1.67,2.59,-,-,-,-,-,-,-,-,-,6.83,6.53,21.48,-,4.88,36.6,4.72,78.62,25.78,-,-
8154,屏東縣,2016/02,潮州,2.7,0.49,-,30.8,77,45,15.88,1.68,14.19,-,-,-,-,-,-,-,-,-,1.59,1.16,19.14,-,-,-,-,75.0,-,-,-
8155,屏東縣,2016/02,屏東,2.6,0.54,-,28.4,67,41,18.92,2.47,16.44,-,2.181,0.15,2.03,-,-,-,-,-,1.52,1.04,19.6,-,-,-,-,68.77,-,-,-
8156,屏東縣,2016/02,恆春,1.1,0.22,409.68,47.9,29,9,4.32,2.02,2.29,-,-,-,-,-,-,-,-,-,8.0,7.53,20.29,-,1.25,-,5.08,75.17,22.5,-,-
8157,屏東縣,2016/01,屏東,2.4,0.58,-,23.0,55,33,21.56,3.39,18.17,-,2.204,0.175,2.03,-,-,-,-,-,1.43,0.9,19.18,-,-,-,-,77.75,-,-,-
8158,屏東縣,2016/01,恆春,0.9,0.22,408.72,42.1,23,7,4.54,2.06,2.47,-,-,-,-,-,-,-,-,-,7.2,6.66,21.12,-,1.48,-,4.71,81.62,30.56,-,-
8159,屏東縣,2016/01,潮州,2.3,0.49,-,23.7,58,35,16.14,1.9,14.23,-,-,-,-,-,-,-,-,-,1.49,0.9,18.88,-,-,-,-,82.91,-,-,-
8160,屏東縣,2015/12,恆春,1.2,0.2,410.1,43.7,27,9,4.1,1.77,2.33,-,-,-,-,-,-,-,-,-,8.2,7.83,23.13,-,1.38,-,5.45,77.63,46.4,-,-
8161,屏東縣,2015/12,屏東,3.0,0.6,-,30.8,77,38,20.58,2.3,18.28,-,2.239,0.18,2.06,-,-,-,-,-,1.38,0.92,22.23,-,-,-,-,70.57,-,-,-
8162,屏東縣,2015/12,潮州,3.0,0.51,-,33.0,80,43,16.77,1.78,14.99,-,-,-,-,-,-,-,-,-,1.29,0.88,21.56,-,-,-,-,77.19,-,-,-
8163,屏東縣,2015/11,恆春,1.0,0.13,399.92,35.7,19,4,3.54,1.91,1.63,-,-,-,-,-,-,-,-,-,6.6,6.3,25.71,-,1.47,-,4.89,80.96,23.75,-,-
8164,屏東縣,2015/11,屏東,3.7,0.53,-,38.6,72,35,17.13,1.62,15.5,-,2.206,0.162,2.04,-,-,-,-,-,1.39,0.95,26.06,-,-,-,-,70.84,-,-,-
8165,屏東縣,2015/11,潮州,3.1,0.39,-,41.7,67,36,10.28,0.97,9.3,-,-,-,-,-,-,-,-,-,1.29,1.01,24.98,-,-,-,-,77.05,-,-,-
8166,屏東縣,2015/10,屏東,2.9,0.48,-,39.6,57,29,13.71,1.51,12.19,-,2.109,0.14,1.97,-,-,-,-,-,1.36,1.02,27.6,-,-,-,-,71.77,-,-,-
8167,屏東縣,2015/10,恆春,1.1,0.13,399.36,40.8,30,12,3.09,1.52,1.57,-,-,-,-,-,-,-,-,-,6.84,6.52,26.33,-,3.03,-,4.36,80.21,23.38,-,-
8168,屏東縣,2015/10,潮州,2.6,0.31,-,39.5,50,26,7.36,1.11,6.22,-,-,-,-,-,-,-,-,-,1.43,1.18,26.52,-,-,-,-,77.25,-,-,-
8169,屏東縣,2015/09,屏東,2.6,0.42,-,37.4,43,21,11.52,1.51,10.0,-,2.046,0.117,1.93,-,-,-,-,-,1.67,1.3,29.04,-,-,-,-,71.02,-,-,-
8170,屏東縣,2015/09,恆春,1.3,0.13,397.92,38.0,30,9,3.72,1.87,1.84,-,-,-,-,-,-,-,-,-,5.0,4.77,27.52,-,3.71,-,4.2,81.93,66.46,-,-
8171,屏東縣,2015/09,潮州,2.2,0.26,-,35.4,38,19,6.17,1.12,5.04,-,-,-,-,-,-,-,-,-,1.75,1.45,27.55,-,-,-,-,76.48,-,-,-
8172,屏東縣,2015/08,屏東,2.3,0.34,-,24.1,31,12,11.43,2.18,9.25,-,1.949,0.113,1.84,-,-,-,-,-,1.76,1.33,28.71,-,-,-,-,74.97,-,-,-
8173,屏東縣,2015/08,潮州,2.2,0.18,-,26.0,31,14,5.89,1.2,4.67,-,-,-,-,-,-,-,-,-,1.9,1.57,27.67,-,-,-,-,78.8,-,-,-
8174,屏東縣,2015/08,恆春,1.5,0.07,396.28,27.6,29,8,3.64,1.58,2.04,-,-,-,-,-,-,-,-,-,4.58,4.13,28.31,-,2.35,-,4.6,85.1,64.66,-,-
8175,屏東縣,2015/07,恆春,1.1,0.07,398.56,27.9,25,7,3.41,1.53,1.88,-,-,-,-,-,-,-,-,-,4.11,3.91,28.4,-,4.04,-,4.72,85.31,24.04,-,-
8176,屏東縣,2015/07,潮州,1.9,0.18,-,25.2,31,13,5.75,1.29,4.46,-,-,-,-,-,-,-,-,-,1.87,1.57,28.13,-,-,-,-,79.38,-,-,-
8177,屏東縣,2015/07,屏東,2.2,0.33,-,25.8,31,12,10.45,1.57,8.87,-,1.942,0.092,1.85,-,-,-,-,-,1.71,1.33,29.25,-,-,-,-,72.05,-,-,-
8178,屏東縣,2015/06,恆春,1.1,0.05,395.36,20.7,19,5,3.12,1.17,1.94,-,-,-,-,-,-,-,-,-,3.55,3.34,29.5,-,1.84,-,4.88,82.5,17.31,-,-
8179,屏東縣,2015/06,潮州,2.4,0.15,-,18.5,28,11,8.01,1.78,6.22,-,-,-,-,-,-,-,-,-,1.96,1.71,29.97,-,-,-,-,71.3,-,-,-
8180,屏東縣,2015/06,屏東,2.6,0.27,-,19.7,31,9,11.31,2.3,9.01,-,1.902,0.08,1.82,-,-,-,-,-,1.86,1.52,31.07,-,-,-,-,64.6,-,-,-
8181,屏東縣,2015/05,潮州,2.2,0.21,-,24.3,34,15,9.58,1.76,7.82,-,-,-,-,-,-,-,-,-,1.75,-,27.62,-,-,-,-,76.2,-,-,-
8182,屏東縣,2015/05,恆春,1.2,0.09,399.01,33.4,26,7,3.64,1.4,2.23,-,-,-,-,-,-,-,-,-,4.5,-,27.14,-,-,-,-,84.18,-,-,-
8183,屏東縣,2015/05,屏東,2.4,0.35,-,22.8,36,13,13.45,2.11,11.33,-,-,-,-,-,-,-,-,-,1.75,-,28.47,-,-,-,-,70.89,-,-,-
8184,屏東縣,2015/04,屏東,3.0,0.42,-,33.8,54,22,14.85,1.57,13.26,-,-,-,-,-,-,-,-,-,1.93,-,26.48,-,-,-,-,64.3,-,-,-
8185,屏東縣,2015/04,潮州,2.9,0.31,-,34.2,56,24,12.42,1.77,10.64,-,-,-,-,-,-,-,-,-,1.88,-,25.54,-,-,-,-,71.02,-,-,-
8186,屏東縣,2015/04,恆春,1.2,0.14,403.56,40.3,31,10,3.79,1.55,2.24,-,-,-,-,-,-,-,-,-,5.17,-,25.34,-,-,-,-,78.93,-,-,-
8187,屏東縣,2015/03,潮州,2.9,0.42,-,35.4,78,35,15.4,1.99,13.4,-,-,-,-,-,-,-,-,-,1.52,-,23.1,-,-,-,-,74.43,-,-,-
8188,屏東縣,2015/03,屏東,3.5,0.57,-,33.7,77,36,19.46,1.88,17.57,-,-,-,-,-,-,-,-,-,1.68,-,23.81,-,-,-,-,68.12,-,-,-
8189,屏東縣,2015/03,恆春,1.4,0.19,403.97,48.8,32,10,3.44,1.76,1.66,-,-,-,-,-,-,-,-,-,6.37,-,22.99,-,-,-,-,77.0,-,-,-
8190,屏東縣,2015/02,屏東,3.1,0.58,-,35.1,86,45,18.91,1.73,17.17,-,-,-,-,-,-,-,-,-,1.54,-,20.91,-,-,-,-,66.73,-,-,-
8191,屏東縣,2015/02,恆春,1.4,0.23,-,49.6,40,17,3.56,1.43,2.11,-,-,-,-,-,-,-,-,-,6.25,-,20.9,-,-,-,-,74.65,-,-,-
8192,屏東縣,2015/02,潮州,3.4,0.5,-,38.4,98,45,16.45,1.85,14.6,-,-,-,-,-,-,-,-,-,1.51,-,20.26,-,-,-,-,74.19,-,-,-
8193,屏東縣,2015/01,恆春,1.2,0.21,-,47.8,36,16,3.74,1.7,2.02,-,-,-,-,-,-,-,-,-,8.25,-,19.92,-,-,-,-,71.57,-,-,-
8194,屏東縣,2015/01,潮州,3.5,0.51,-,35.6,99,45,18.49,1.98,16.51,-,-,-,-,-,-,-,-,-,1.35,-,19.03,-,-,-,-,71.87,-,-,-
8195,屏東縣,2015/01,屏東,3.6,0.63,-,32.9,89,46,23.17,2.42,20.75,-,-,-,-,-,-,-,-,-,1.49,-,19.74,-,-,-,-,64.56,-,-,-
8196,屏東縣,2014/12,恆春,1.4,0.2,409.27,43.9,34,16,3.57,1.57,1.99,-,-,-,-,-,-,-,-,-,9.0,-,20.17,-,-,-,-,72.95,-,-,-
8197,屏東縣,2014/12,潮州,3.4,0.53,-,28.0,93,46,20.21,2.71,17.5,-,-,-,-,-,-,-,-,-,1.25,-,19.32,-,-,-,-,75.11,-,-,-
8198,屏東縣,2014/12,屏東,3.5,0.67,-,24.9,87,43,26.42,3.6,22.82,-,-,-,-,-,-,-,-,-,1.39,-,19.82,-,-,-,-,69.69,-,-,-
8199,屏東縣,2014/11,潮州,3.5,0.42,-,44.0,77,38,12.43,1.49,10.94,-,-,-,-,-,-,-,-,-,1.41,-,24.21,-,-,-,-,73.58,-,-,-
8200,屏東縣,2014/11,屏東,3.7,0.58,-,40.7,78,38,19.32,1.65,17.67,-,-,-,-,-,-,-,-,-,1.45,-,25.1,-,-,-,-,68.64,-,-,-
8201,屏東縣,2014/11,恆春,1.0,0.13,401.79,44.6,29,8,3.87,1.88,1.99,-,-,-,-,-,-,-,-,-,7.4,-,24.31,-,-,-,-,76.0,-,-,-
8202,屏東縣,2014/10,潮州,3.3,0.36,-,53.1,71,37,9.47,0.91,8.54,-,-,-,-,-,-,-,-,-,1.5,-,26.09,-,-,-,-,71.45,-,-,-
8203,屏東縣,2014/10,屏東,3.8,0.54,-,51.1,79,38,15.9,1.41,14.49,-,-,-,-,-,-,-,-,-,1.57,-,27.16,-,-,-,-,66.13,-,-,-
8204,屏東縣,2014/10,恆春,1.3,0.11,392.18,50.2,43,15,3.42,1.78,1.64,-,-,-,-,-,-,-,-,-,6.69,-,25.83,-,-,-,-,74.38,-,-,-
8205,屏東縣,2014/09,恆春,1.2,0.07,388.58,27.6,26,7,3.19,1.69,1.5,-,-,-,-,-,-,-,-,-,3.88,-,28.06,-,-,-,-,82.31,-,-,-
8206,屏東縣,2014/09,潮州,2.6,0.24,-,32.7,40,20,7.26,1.27,5.98,-,-,-,-,-,-,-,-,-,1.51,-,28.08,-,-,-,-,77.18,-,-,-
8207,屏東縣,2014/09,屏東,2.8,0.41,-,33.5,43,17,12.49,1.68,10.8,-,-,-,-,-,-,-,-,-,1.65,-,29.26,-,-,-,-,73.81,-,-,-
8208,屏東縣,2014/08,屏東,2.3,0.36,-,23.4,29,8,12.09,2.23,9.85,-,-,-,-,-,-,-,-,-,1.69,-,28.76,-,-,-,-,75.99,-,-,-
8209,屏東縣,2014/08,潮州,2.2,0.17,-,23.7,29,12,6.55,1.45,5.13,-,-,-,-,-,-,-,-,-,1.67,-,27.96,-,-,-,-,76.79,-,-,-
8210,屏東縣,2014/08,恆春,-,0.05,395.87,21.7,22,4,3.89,2.55,1.33,-,-,-,-,-,-,-,-,-,3.85,-,28.08,-,-,-,-,83.5,-,-,-
8211,屏東縣,2014/07,屏東,2.7,0.34,-,27.0,37,12,12.35,2.03,10.31,-,-,-,-,-,-,-,-,-,1.85,-,30.21,-,-,-,-,72.9,-,-,-
8212,屏東縣,2014/07,潮州,2.7,0.18,-,26.1,36,17,7.09,1.38,5.71,-,-,-,-,-,-,-,-,-,1.75,-,29.36,-,-,-,-,73.13,-,-,-
8213,屏東縣,2014/07,恆春,1.2,0.06,400.91,24.7,25,5,3.11,1.83,1.25,-,-,-,-,-,-,-,-,-,3.68,-,29.89,-,-,-,-,70.95,-,-,-
